Файл	Сущность	Оффсет	Тип сущности	Окно±25
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	13 : 19	CM	             AC0010 is a novel, potent, smal
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	tyrosine	68 : 76	CM	ll molecule irreversible tyrosine kinase inhibitor (TKI) t
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	330 : 336	CM	  safety profile of oral AC0010; to determine the maximu
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	MTD	379 : 382	CM	 maximum tolerated dose (MTD) and/or       recommende
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	RP2D	423 : 427	CM	ecommended Phase 2 dose (RP2D) of oral AC0010; to asse
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	437 : 443	CM	se 2 dose (RP2D) of oral AC0010; to assess the safety an
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	482 : 488	CM	e safety and efficacy of AC0010       in previously trea
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	532 : 537	CM	y treated mutant EGFR in NSCLC patients with EGFR T790M
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	T790M	557 : 562	CM	NSCLC patients with EGFR T790M mutation.               
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	681 : 686	CM	-small cell lung cancer (NSCLC)       accounting for 85
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	807 : 812	CM	o       chemotherapy for NSCLC patients whose tumors ha
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	tyrosine	897 : 905	CM	s have       established tyrosine kinase inhibitors (TKIs)
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	TKIs	925 : 929	CM	osine kinase inhibitors (TKIs) as the gold standard fo
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	gold	938 : 942	CM	inhibitors (TKIs) as the gold standard for treating   
