Файл	Сущность	Оффсет	Тип сущности	Окно±25
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	tyrosine	68 : 76	CM	ll molecule irreversible tyrosine kinase inhibitor (TKI) t
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	kinase	77 : 83	ASE	le irreversible tyrosine kinase inhibitor (TKI) that    
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	PK	293 : 295	CM	ate the pharmacokinetic (PK) and       safety profil
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	RP2D	423 : 427	CM	ecommended Phase 2 dose (RP2D) of oral AC0010; to asse
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	532 : 537	CM	y treated mutant EGFR in NSCLC patients with EGFR T790M
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	681 : 686	CM	-small cell lung cancer (NSCLC)       accounting for 85
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	807 : 812	CM	o       chemotherapy for NSCLC patients whose tumors ha
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	tyrosine	897 : 905	CM	s have       established tyrosine kinase inhibitors (TKIs)
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	kinase	906 : 912	ASE	    established tyrosine kinase inhibitors (TKIs) as the
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	gold	938 : 942	CM	inhibitors (TKIs) as the gold standard for treating   
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NCSLC	994 : 999	CM	  EGFR-mutation-positive NCSLC. However, patients on TK
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	1681 : 1686	CM	previously       treated NSCLC patients who have docume
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	erlotinib	1831 : 1840	CM	n EGFR inhibitor such as erlotinib, gefitinib or       afat
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	gefitinib	1842 : 1851	CM	bitor such as erlotinib, gefitinib or       afatinib.      
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	afatinib	1861 : 1869	CM	inib, gefitinib or       afatinib.        This study will 
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	28-	1956 : 1959	CPR	e-escalation Period with 28-day cycles; Optional Trea
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	2368 : 2373	CM	     advanced, recurrent NSCLC.            -  At least 
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Erlotinib	3271 : 3280	CM	r at least 30 days (e.g. Erlotinib, or Gefitinib, or Afatin
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Gefitinib	3285 : 3294	CM	days (e.g. Erlotinib, or Gefitinib, or Afatinib) with      
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Afatinib	3299 : 3307	CM	otinib, or Gefitinib, or Afatinib) with              inter
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Erlotinib	3434 : 3443	CM	n              EGFR TKI (Erlotinib, or Gefitinib) is at a m
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Gefitinib	3448 : 3457	CM	 EGFR TKI (Erlotinib, or Gefitinib) is at a minimum of 7 da
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Afatinib	3554 : 3562	CM	versible EGFR inhibitor (Afatinib) and chemotherapy is at 
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	3744 : 3749	CM	  or less.            -  NSCLC patients with asymptomat
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	HCV	4272 : 4275	CM	          -  Positive to HCV or HIV antibody.        
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	12-lead	4564 : 4571	CM	lly significant abnormal 12-lead ECG, QT interval correct
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	5440 : 5445	CM	With EGFR T790M Positive NSCLC               Safety, To
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	cediranib	150 : 159	CM	ing investigational drug cediranib to olaparib after diseas
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	Cediranib	277 : 286	CM	r.                       Cediranib works by blocking (inhib
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	oxygen	605 : 611	CM	sels on the tumors bring oxygen and nutrients to the can
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	adenosine diphosphate	809 : 830	CM	ing protein called poly [adenosine diphosphate-ribose] polymerase      
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	ribose	831 : 837	CM	y [adenosine diphosphate-ribose] polymerase       (PARP)
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	cediranib	1174 : 1183	CM	  may die.        Adding cediranib to olaparib, and therefo
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	cediranib	3111 : 3120	CM	mposition to olaparib or cediranib            -  Unable to 
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	leukaemia	3345 : 3354	CM	c syndrome/acute myeloid leukaemia            -  Immuno-com
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	Cediranib	3707 : 3716	CM	              A Study of Cediranib and Olaparib at the Time
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	Cediranib	3844 : 3853	CM	Trial of the Combination Cediranib-Olaparib at the Time of 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	Mitogen	115 : 122	CM	d/or       chemotherapy. Mitogen-activated protein kinase
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	kinase	141 : 147	ASE	itogen-activated protein kinase (MAPK) cascades are key 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	temozolomide	405 : 417	CM	 glioblastoma during the temozolomide (TMZ) era and represents
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	419 : 422	CM	during the temozolomide (TMZ) era and represents a co
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	LY2228820	553 : 562	CM	 or chemotherapy.        LY2228820 is a potent and selectiv
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	phosphorylation	624 : 639	RN	of p38 MAPK, and reduces phosphorylation of its       cellular ta
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	kinase	693 : 699	ASE	, MAPK-activated protein kinase 2 (MAPKAPK-2) . LY222882
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	LY2228820	716 : 725	CM	n kinase 2 (MAPKAPK-2) . LY2228820 is a good candidate     
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	gold	797 : 801	CM	glioma resistance to the gold standard treatment combi
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	851 : 854	CM	ning radiation and       TMZ by acting on both tumor 
